iX,iY,iZ,depth_mm,mean_dose_cGy,stddev_dose_cGy,err_dose_cGy,err_rel_percent,mean_internal_rms_cGy,stddev_internal_rms_cGy,err_internal_rms_cGy,mean_entries,stddev_entries,err_entries
0,0,20,397.5,0.1255724,0.00337275522714,0.0010665588508,0.849357701853,67.65066,2.29742395072,0.726509243529,1761.8,38.1598975074,12.0672191402
0,0,21,392.5,0.1323397,0.00349119378023,0.00110401240985,0.834226169361,70.28736,1.87981910607,0.594450996429,1895,42.6822888067,13.4973248378
0,0,22,387.5,0.1378149,0.00431070423352,0.00136316436973,0.989126988247,71.32743,1.9666094975,0.621896528023,2010.1,28.1442711755,8.9
0,0,23,382.5,0.1411152,0.00535685753238,0.00169398709034,1.20042850829,72.76224,2.38135600083,0.753050888232,2121.8,40.3727080533,12.7669712757
0,0,24,377.5,0.1458105,0.00322582341771,0.00102009493295,0.699603206179,73.06787,1.41230542892,0.446610190721,2231.9,33.1342387536,10.4779662997
0,0,25,372.5,0.1479811,0.00337957316338,0.00106871487155,0.72219686943,73.35975,1.62185717774,0.512876272116,2320.5,36.4577380904,11.5289490703
0,0,26,367.5,0.1551841,0.00336890441967,0.00106534111856,0.686501464104,76.55498,1.19286280556,0.377216340167,2436.1,27.416337384,8.66980712332
0,0,27,362.5,0.1566916,0.00549343719967,0.0017371773734,1.10866017923,74.94517,2.50412577029,0.791874098165,2543.1,48.6334361434,15.3792428653
0,0,28,357.5,0.1600947,0.00335283220411,0.00106025863773,0.662269667724,76.3979,1.86373142915,0.589363626295,2604.4,44.8310408336,14.176819891
0,0,29,352.5,0.1670155,0.00494333868847,0.00156322095012,0.935973577374,78.82445,1.90960717325,0.603870810365,2745.7,51.5149385022,16.2904539191
0,0,30,347.5,0.1737906,0.00579704371402,0.00183318618319,1.05482470466,80.16716,2.21659145948,0.700947765402,2864.4,61.7777378097,19.5358360171
0,0,31,342.5,0.1773315,0.00350080946989,0.00110705315791,0.624284550637,79.92939,1.987635926,0.628545668534,2975.9,57.5740103403,18.2065006705
0,0,32,337.5,0.1809963,0.00457423025826,0.00144649861582,0.799186842944,81.25445,1.87130198124,0.591757645071,3035.4,53.8211028418,17.0197271162
0,0,33,332.5,0.1859679,0.0063306041567,0.00200191281001,1.07648298981,82.1607,2.46629595863,0.779911261334,3170.8,58.6151288776,18.5357312597
0,0,34,327.5,0.1895162,0.00568950696556,0.00179918007746,0.949354238559,82.6391,1.70336468725,0.538651209762,3251.6,51.3445875109,16.2365842056
0,0,35,322.5,0.197828,0.00413730833057,0.0013083317707,0.661348125998,85.14907,1.53409220645,0.485122551309,3389.2,42.0100517072,13.2847448016
0,0,36,317.5,0.2029526,0.00866419892046,0.00273986026894,1.35000008324,85.91532,3.30624216522,1.04552557382,3484.9,63.9017474983,20.207506856
0,0,37,312.5,0.2055651,0.00742118388953,0.00234678440259,1.14162589009,86.72759,2.08638113406,0.659771645083,3568.4,75.1327713673,23.7590684441
0,0,38,307.5,0.2108769,0.00633040928026,0.00200185118467,0.949298469708,87.07409,2.11788251298,0.669733255765,3701.1,70.4674077539,22.283750931
0,0,39,302.5,0.2180885,0.00579070048056,0.00183118027664,0.839650085465,88.63293,2.5587411141,0.809144986328,3847.6,89.7245166545,28.3733834586
0,0,40,297.5,0.2259945,0.00846072859024,0.00267551730097,1.1838860242,90.571,3.23874913954,1.02418240509,3951.5,68.9770493232,21.8124582139
0,0,41,292.5,0.2333583,0.00525399276847,0.00166145839584,0.711977416634,92.45946,1.96681013499,0.621959975168,4080.3,70.1807982602,22.1931170511
0,0,42,287.5,0.2408332,0.00557593792409,0.00176326639318,0.732152540922,92.9797,2.26927892806,0.717609005889,4201.5,45.8506028071,14.4992336962
0,0,43,282.5,0.2463945,0.0050221857404,0.00158815457721,0.644557641185,94.72671,2.43557556713,0.77019662056,4331.2,41.3247302875,13.0680271401
